Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
45001;45;9;Museo di San Caprasio;2012;2012-08-19T21:22:59Z;1873548769;9,9678401;44,2076082
51002;51;9;Museo dei Mezzi di Comunicazione;2012;2012-10-07T21:00:27Z;1951545764;11,8818467;43,4669819
51002;51;9;Casa museo Ivan Bruschi;2012;2012-10-07T21:18:44Z;1951604574;11,8832169;43,4651403
58042;58;12;CIAC - Centro Internazionale per l'Arte Contempo;2014;2014-08-28T10:19:20Z;1979420750;12,9740678;41,8350982
58091;58;12;Museo napoleonico di Roma;2014;2014-04-11T15:49:57Z;1938346422;12,4719899;41,901854
59006;59;12;Museo della città e del territorio;2015;2015-12-03T09:18:23Z;1855545645;12,9131458;41,6435707
42044;42;11;Civica Raccolta d'Arte;2012;2012-10-13T17:22:53Z;1962972166;12,8589943;43,436069
42044;42;11;Museo Civico Archeologico;2012;2012-10-13T17:22:53Z;1962972167;12,8584748;43,4359354
48038;48;9;Museo di San Casciano;2014;2014-03-14T19:45:06Z;1926988119;11,1846669;43,6575302
48017;48;9;Villa Bardini;2014;2014-09-25T20:59:10Z;1911309113;11,2561926;43,7642641
48017;48;9;Biblioteca dell'Accademia della Crusca;2014;2014-09-25T21:58:10Z;1931856291;11,2282456;43,81983
48017;48;9;Cenacolo Andrea del sarto;2012;2012-10-13T07:06:40Z;1962240810;11,2860904;43,7715712
48049;48;9;Casa di Giotto;2012;2012-11-02T10:23:27Z;1993496343;11,4323781;43,9486328
48027;48;9;Museo archeologico;2012;2012-10-28T15:43:15Z;1986817265;10,91288;43,5526165
49012;49;9;Museo Archeologico;2014;2014-08-26T16:04:00Z;1970201003;10,5220574;42,9234035
49012;49;9; ;2012;2012-10-21T16:16:52Z;1976747510;10,4901281;42,98761
54013;54;10;Sala degli Specchi;2012;2012-10-24T09:15:27Z;1980796058;12,2405271;43,457657
52028;52;9;Museo Civico;2013;2013-08-09T05:31:30Z;1928991660;11,0430411;43,4676208
52028;52;9;Museo archeologico;2012;2012-09-23T15:46:24Z;1929089815;11,0441918;43,4701332
52028;52;9;SanGimignano1300;2012;2012-09-23T16:42:42Z;1929175931;11,0420765;43,4665979
54024;54;10;Antiquarium;2012;2012-08-17T23:49:43Z;1870731934;12,5739936;43,3527448
46003;46;9;Museo Casa Pascoli;2013;2013-12-15T21:37:41Z;2302168256;10,4624613;44,0840491
51017;51;9;Museo della Civiltà Contadina;2012;2012-12-11T20:40:51Z;2062247391;11,9080289;43,2570419
56052;56;12;museo nazionale tuscanese;2013;2013-05-09T13:12:15Z;2297010510;11,872681;42,4211971
58111;58;12;Museo Diocesano;2013;2013-01-12T00:15:29Z;2106510786;12,776091;41,6829224
59011;59;12;Planetario Livio Gratton;2013;2013-03-07T14:38:51Z;2189712755;12,8943538;41,4588782
58091;58;12;Museo Nazionale delle Paste Alimentari;2013;2013-01-21T08:48:00Z;2122261350;12,4849833;41,9006543
58091;58;12;Galleria nazionale d'arte antica;2013;2013-10-19T12:42:03Z;2122709063;12,4898746;41,9033252
58091;58;12;Museo Barracco;2013;2013-04-21T09:01:54Z;2135980836;12,472583;41,8967879
58091;58;12;Case romane del Celio;2015;2015-10-19T18:33:26Z;2184077390;12,4918527;41,8863514
58091;58;12;Casa di Goethe;2013;2013-04-02T12:48:24Z;2244843070;12,4770494;41,9092382
58091;58;12;Museo Palatino;2014;2014-01-04T20:23:42Z;2263021095;12,486598;41,8882674
59027;59;12;Museo della Ceramica;2013;2013-04-01T17:51:08Z;2242708059;12,9870576;41,5486741
